price,area,bedrooms,bathrooms,location
Rs 2.85 Crore,120 SQYD,2 Beds,2 Baths,"Metrovil Colony - Block 1/1, Karachi•"
Rs 29 Lacs,120 SQYD,0,0,"Sachal Sarmast Society, Karachi•"
Rs 5.90 Crore,240 SQYD,6 Beds,6 Baths,"Gulistan-e-Jauhar Block 7, Karachi•"
Rs 6.50 Crore,325 SQYD,6 Beds,6 Baths,"Capital Cooperative Housing Society, Karachi•"
Rs 1.35 Crore,"1,100 SQFT",2 Beds,2 Baths,"North Nazimabad - Block K, Karachi•"
Rs 6.25 Crore,240 SQYD,6 Beds,5 Baths,"Gulshan-e-Iqbal - Block 13/D, Karachi•"
Rs 1.90 Crore,120 SQYD,4 Beds,4 Baths,"Gulshan-e-Maymar - Sector Q, Karachi•"
Rs 87 Lacs,"1,400 SQYD",2 Beds,3 Baths,"Bahria Town Karachi, Karachi•"
Rs 40 Lacs,650 SQFT,2 Beds,2 Baths,"Gulistan-e-Jauhar Block 18, Karachi•"
Rs 2.15 Crore,"1,600 SQFT",3 Beds,4 Baths,"Saima Residency, Karachi•"
Rs 80 Lacs,950 SQFT,2 Beds,2 Baths,"Federal Government Employees Housing Foundation, Karachi•"
Rs 92 Lacs,"1,050 SQFT",2 Beds,2 Baths,"Noman Residencia, Karachi•"
Rs 1.10 Crore,"1,050 SQFT",2 Beds,2 Baths,"Noman Residencia, Karachi•"
Rs 1.55 Crore,"1,600 SQFT",3 Beds,4 Baths,"Noman Residencia, Karachi•"
Rs 2.50 Crore,150 SQYD,3 Beds,3 Baths,"Chapal Sun City, Karachi•"
Rs 1.20 Crore,"1,440 SQFT",3 Beds,3 Baths,"Chapal Sun City, Karachi•"
Rs 2.29 Crore,"1,750 SQFT",3 Beds,4 Baths,"Saima Residency, Karachi•"
Rs 42 Lacs,600 SQFT,2 Beds,2 Baths,"Gulistan-e-Jauhar Block 18, Karachi•"
Rs 1.60 Crore,"1,900 SQFT",Studio,1 Bath,"Gulistan-e-Jauhar Block 17, Karachi•"
Rs 2.80 Crore,600 SQYD,0,0,"Pak Air Crew Cooperative Housing Society, Karachi•"
Rs 1.14 Crore,125 SQYD,3 Beds,3 Baths,"Bahria Town - Ali Block, Karachi•"
Rs 1.60 Crore,"1,200 SQFT",2 Beds,3 Baths,"Jinnah Avenue, Karachi•"
Rs 6.65 Crore,300 SQYD,5 Beds,6 Baths,"Askari 6, Karachi•"
Rs 49 Lacs,"1,000 SQFT",3 Beds,3 Baths,"North Karachi - Sector 5M, Karachi•"
Rs 47 Lacs,70 SQYD,2 Beds,2 Baths,"DHA Phase 2 Extension, Karachi•"
Rs 70 Lacs,700 SQFT,2 Beds,2 Baths,"Gulshan-e-Maymar - Sector R, Karachi•"
Rs 12 Lacs,"1,000 SQYD",0,0,"Gadap Town, Karachi•"
Rs 75 Lacs,120 SQYD,0,0,"Gulshan-e-Roomi, Karachi•"
Rs 60 Lacs,120 SQYD,0,0,"Gulshan-e-Maymar - Sector X, Karachi•"
Rs 2.45 Crore,150 SQYD,3 Beds,3 Baths,"Chapal Sun City, Karachi•"
Rs 1.55 Crore,"1,050 SQFT",2 Beds,2 Baths,"Palm Residency, Karachi•"
Rs 4.50 Crore,473 SQFT,0,0,"Noman Residencia, Karachi•"
Rs 1.20 Crore,"1,050 SQFT",2 Beds,2 Baths,"Noman Residencia, Karachi•"
Rs 42 Lacs,100 SQYD,4 Beds,2 Baths,"Allahwala Town - Sector 31-B, Karachi•"
Rs 1.90 Crore,120 SQYD,4 Beds,4 Baths,"Falaknaz Golden Pebbles, Karachi•"
Rs 1.05 Crore,"1,050 SQFT",2 Beds,2 Baths,"Noman Residencia, Karachi•"
Rs 91 Lacs,"1,050 SQFT",2 Beds,2 Baths,"Noman Residencia, Karachi•"
Rs 2.10 Crore,"1,300 SQFT",3 Beds,3 Baths,"Chapal Courtyard, Karachi•"
Rs 2.20 Crore,120 SQYD,4 Beds,4 Baths,"Chapal Sun City, Karachi•"
Rs 12.80 Lacs,60 SQYD,1 Bed,1 Bath,"Korangi - Sector 31-G, Karachi•"
