price,area_sqft,bedrooms,bathrooms,location_final
21500000,1080,4,5,Gulshan
40000000,2160,6,6,Gulshan
55000000,2320,2,2,Clifton
73000000,2900,4,4,Clifton
70000000,3798,4,4,Nazimabad
77000000,4500,6,5,Nazimabad
29000000,1700,3,3,Clifton
31000000,1080,2,2,Model Colony
8500000,1080,3,3,Other
10500000,1080,3,3,Other
24000000,1080,1,1,Other
21000000,1080,1,1,Other
11399999,1080,3,3,Other
12900000,1080,3,3,DHA
6000000,1080,3,3,Other
3800000,1080,3,3,Other
6000000,3600,3,4,Other
3300000,1080,3,3,Other
5200000,432,2,2,Other
65000000,3600,3,4,Malir
15000000,720,1,1,Model Colony
5800000,360,2,2,Other
5500000,360,1,1,Jinnah Square
5250000,360,1,1,Jinnah Square
4950000,360,1,1,Jinnah Square
4700000,360,1,1,Jinnah Square
4500000,360,1,1,Jinnah Square
4200000,360,1,1,Jinnah Square
4000000,360,1,1,Jinnah Square
3700000,360,1,1,Jinnah Square
3500000,360,1,1,Jinnah Square
16500000,1250,2,2,North Nazimabad
600000,42,3,3,Allahwala Town
1560000,378,2,1,Allahwala Town
1530000,423,2,1,Allahwala Town
2300000,540,2,2,Allahwala Town
2380000,540,2,2,Allahwala Town
10500000,756,6,4,Allahwala Town
11000000,720,6,4,Other
2500000,360,2,1,Other
29800000,1080,6,7,Other
15000000,1080,6,6,Gulshan
14800000,720,6,4,Other
2730000,720,3,3,Other
2700000,720,3,3,Malir
80000,500,3,3,Gulshan
5800000,850,6,2,Gulshan
11000000,1998,3,3,Gulshan
3000000,900,3,3,Malir
13000000,1080,5,5,Gulistan
75000000,1704,2,3,Other
35000000,400,3,3,Other
1100000,450,2,1,Allahwala Town
1500000,550,2,2,Allahwala Town
3979000,600,2,2,Other
1900000,600,2,2,Allahwala Town
1500000,450,2,1,Allahwala Town
1300000,450,2,1,Allahwala Town
2100000,450,2,1,Allahwala Town
2000000,600,2,2,Allahwala Town
2400000,450,2,1,Korangi
1650000,450,2,1,Allahwala Town
1900000,550,2,2,Allahwala Town
3600000,800,3,2,Korangi
9500000,1080,2,4,Other
2000000,450,2,1,Allahwala Town
8700000,1080,2,2,Falaknaz Dreams
8600000,1080,2,2,Falaknaz Dreams
3000000,720,3,3,Falaknaz Dreams
6500000,3600,3,4,Other
26500000,7200,4,4,Other
15000000,1200,3,3,Gulshan
37000000,3600,3,4,Gwalior Cooperative Housing Society
14800000,1100,2,2,Other
36000000,5400,3,4,Other
40000000,3600,3,4,Other
48400000,2160,6,6,Gwalior Cooperative Housing Society
13000000,1150,3,3,Other
8500000,1050,2,2,Other
7200000,750,2,2,Other
21000000,1800,3,3,Other
16500000,1080,3,3,Gwalior Cooperative Housing Society
31000000,2160,3,3,Other
45000000,1072,1,1,Other
5500000,756,4,3,Surjani Town
55000000,2160,6,7,Other
52500000,2160,6,7,Gwalior Cooperative Housing Society
49000000,1800,6,7,Other
7700000,900,2,2,Gwalior Cooperative Housing Society
80000000,2997,3,4,Meerut Society
5600000,600,2,2,Other
2700000,180,3,3,Gwalior Cooperative Housing Society
8500000,1080,3,3,Other
17500000,1980,3,3,Gwalior Cooperative Housing Society
25400000,2160,3,3,Gwalior Cooperative Housing Society
46500000,2160,6,6,Other
7500000,810,3,3,Gwalior Cooperative Housing Society
29000000,1080,4,5,Gwalior Cooperative Housing Society
48000000,2043,6,6,Other
17700000,2610,3,3,Other
75000000,3375,5,6,Other
5700000,900,2,2,Surjani Town
68500000,1650,2,4,Other
